Weddell,Shelf,Open,AP
657.5257764,636.5711552,658.1176452,615.5418938
618.7910494,629.3684016,617.6294718,693.6284555
620.6747455,675.8359265,618.3222843,749.5309543
554.3415196,573.1210039,551.9377438,682.5383296
496.4284046,471.5612346,495.3081622,544.734817
418.6456797,399.5832941,416.4331351,502.1793235
358.684951,527.1827068,356.1446681,451.6862845
309.0105281,NaN,305.4326001,466.0025728
267.3429606,305.7500432,263.5759192,424.5907185
246.0257784,NaN,244.1133601,314.2237787
220.606568,NaN,217.5089872,337.0684309
217.1677944,NaN,213.8062522,315.3029158
207.783434,NaN,207.8878821,204.896994
240.2281876,NaN,240.2114549,NaN
205.4405906,NaN,205.3940465,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
159.7797779,NaN,159.7797779,NaN
196.189467,NaN,196.1841897,NaN
212.6669491,NaN,212.6769633,NaN
217.2805054,NaN,217.2790132,NaN
242.8545719,NaN,242.8509569,NaN
251.6035925,NaN,251.6035925,NaN
285.7226778,NaN,285.7226778,NaN
260.7496047,NaN,260.7496047,NaN
327.9351866,NaN,327.9351866,NaN
349.9804745,NaN,352.6565245,323.9365036
456.3133493,NaN,472.6554461,334.8055797
491.9875259,NaN,506.9639262,424.2196399
532.9076561,NaN,559.6310802,373.5689191
440.1738931,NaN,437.6021006,464.3576248
507.6764198,NaN,509.9320853,477.6731208
578.5524529,NaN,582.0269061,479.7825811
578.8947597,NaN,579.2589604,566.9644692
591.344446,NaN,590.4646774,632.0243939
621.1302812,NaN,619.952993,702.6986018
600.4851194,NaN,599.9720334,625.9617956
615.9119323,688.3734156,616.6789811,555.9659618
533.9966303,522.5174159,533.5290366,588.682951
453.9607709,395.3426838,452.5234711,645.6840277
411.0732833,323.5893237,408.8161907,612.5675312
375.4445837,299.3043361,373.6672682,493.6208374
349.705321,328.3985977,348.279635,433.8304676
310.2704456,300.7495145,309.6610875,353.5238286
257.5964654,265.7382153,255.8841683,419.0995299
216.6679297,185.3745352,215.327181,342.1837114
191.1765715,NaN,189.7707026,246.3563677
195.5502033,NaN,192.5191253,325.3313141
159.2914086,NaN,159.2962291,NaN
153.4775846,NaN,153.4775846,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
124.9562573,NaN,124.9562573,NaN
127.4238441,NaN,127.4206802,NaN
177.3666408,NaN,177.3756582,NaN
173.8801746,NaN,173.8894865,NaN
249.4901088,NaN,249.5605174,NaN
221.4210024,NaN,221.4414267,NaN
244.8378981,NaN,244.8833116,NaN
309.6941427,NaN,309.7107583,NaN
400.592895,NaN,400.637568,NaN
452.7283243,NaN,471.4794679,296.8170829
513.8919261,NaN,550.2863173,278.3504021
503.7971019,NaN,531.0328359,322.2201826
538.1964346,NaN,566.3344525,332.0022858
505.2171329,NaN,517.3014993,407.2229524
562.4658755,NaN,567.2771693,522.6418615
578.5240331,NaN,597.851114,487.0858547
588.8186647,NaN,593.7077309,557.0158732
650.2595215,NaN,659.8481906,537.9146154
671.8912171,729.5133475,674.5984031,622.0760002
637.5843883,918.1736918,636.1622339,662.0097252
610.7921396,769.7093002,609.0281604,646.5214987
566.1195349,902.6397332,563.938821,592.176653
529.5283895,672.1090166,528.4488693,547.7884856
471.5425637,787.1593004,470.2070145,418.9931818
450.5241327,650.8976943,450.3403472,392.9738992
392.4306757,563.7869448,390.6301072,425.3038206
320.2047984,456.0249267,318.678371,332.3738924
279.7806354,348.3930075,278.8975564,294.9047618
235.5030639,NaN,232.0454471,336.7410789
210.8615881,NaN,207.4573456,295.6843699
165.3385315,NaN,160.681949,244.0292178
155.8820307,NaN,155.8927304,NaN
238.1200545,NaN,238.1200545,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
179.3291368,NaN,179.3291368,NaN
190.4877418,NaN,190.4950937,NaN
197.2860854,NaN,197.2866424,NaN
199.3154761,NaN,199.3144707,NaN
213.4732815,NaN,213.4629148,NaN
249.6827906,NaN,247.5862724,304.1565746
261.6406256,NaN,248.1192253,297.8561164
246.9960619,263.2312192,225.8710402,275.6462929
346.8286744,486.5159498,317.4352764,376.4195111
430.8743497,NaN,393.220803,460.8573589
515.9603152,855.9724574,401.4996753,607.6265477
447.0894456,864.4757578,393.5557104,525.9596135
455.8592712,996.439638,421.0789389,550.9001193
510.126399,NaN,498.0675743,557.9327241
554.4331136,NaN,548.5425151,602.1250404
596.0205596,NaN,597.3118057,573.8536251
607.7330671,624.1861353,612.4271332,475.5127044
596.7019806,660.0783065,597.2642172,574.5629416
630.7209061,669.494029,631.7672337,593.1011151
576.9499384,667.5604,578.3159161,523.1100434
528.6438466,565.9893213,529.702728,484.7328326
474.7934423,539.0493971,473.4730338,498.443451
446.7623383,506.2569597,444.2336471,499.8110457
388.4879595,499.2600383,385.7936224,415.9088561
317.1948217,488.7742391,313.7119674,345.3997979
275.3434431,426.4138816,272.5769426,300.7613993
254.4639808,319.3445054,251.3954302,344.2658319
232.1126841,302.0722738,229.3447837,319.9308442
204.1648066,397.2968849,200.9963609,283.7664307
208.4519944,393.0804085,205.4721719,258.2901841
193.6112214,NaN,192.2242506,230.0879916
189.8675415,NaN,189.8550634,NaN
148.7958381,NaN,148.7958381,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
165.6991356,NaN,165.7165678,NaN
189.485144,NaN,189.4881875,NaN
217.3424751,NaN,217.3387589,NaN
214.3101311,NaN,214.3139022,NaN
254.1901222,NaN,254.2970729,216.0336486
254.7824272,NaN,255.7665223,249.609887
249.1910423,NaN,251.5790995,243.530755
273.7585291,NaN,281.191702,263.3502257
298.7568773,NaN,308.3685526,285.9979974
330.2034289,NaN,339.2017094,305.7901533
326.2538026,NaN,312.0838706,377.680257
360.2210619,NaN,331.3759227,460.517842
404.7361508,NaN,391.3370122,464.1314968
477.3877923,NaN,476.430267,484.947782
517.9904964,NaN,517.9680751,518.4337545
597.8263892,631.1385892,602.6303513,521.7545004
552.0416101,658.415076,549.6179763,606.8657512
562.3017846,727.1823034,560.1822473,611.3349481
576.162331,633.8803834,573.0421997,664.1105849
523.5968642,612.3150014,523.0632968,528.7015439
488.1277997,545.3038241,485.8553684,551.615879
446.4987179,549.8951509,443.2373812,520.5885639
408.66609,477.0834311,402.4606652,580.1798904
373.4307875,379.7819657,367.6330669,567.5993526
327.9499282,353.2112137,323.6655077,467.6502388
306.3708134,366.8788969,302.8751787,416.7819672
279.0509148,302.1454735,274.1445051,456.2056843
249.7383082,286.370267,246.5500236,368.7473677
244.2995826,212.6544258,240.7675461,376.5457515
238.1296037,NaN,233.4784189,323.2667348
227.8161235,NaN,225.8526889,274.7616009
204.7104028,NaN,204.6988485,NaN
178.1713322,NaN,178.1713322,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
194.4670349,NaN,194.4845503,NaN
182.9586136,NaN,182.969832,NaN
191.6281536,NaN,191.8266713,189.2198943
238.3915215,NaN,237.4114366,286.2408526
253.9040263,NaN,253.5448304,300.1193946
270.1020532,NaN,272.1583439,245.415719
264.4478253,NaN,270.4464713,234.6198308
280.2906311,NaN,277.7619665,286.6174989
